Timestamp,How would you rate your Processing skill?
1/27/2014 12:17:25,5
1/27/2014 12:17:28,5
1/27/2014 12:17:30,6
1/27/2014 12:17:36,5
1/27/2014 12:17:43,5
1/27/2014 12:17:53,3
1/27/2014 12:17:55,8
1/27/2014 12:17:58,5
1/27/2014 12:17:51,5
1/27/2014 12:17:53,8
1/27/2014 12:18:00,8
1/27/2014 12:18:02,8
1/27/2014 12:18:02,5
1/27/2014 12:18:04,3
1/27/2014 12:18:06,6
1/27/2014 12:18:08,4
1/27/2014 12:18:09,4
1/27/2014 12:18:09,4
1/27/2014 12:18:11,3
1/27/2014 12:18:15,5
1/27/2014 12:18:17,5
1/27/2014 12:18:21,6
1/27/2014 12:18:28,4
1/27/2014 12:18:48,5
1/27/2014 12:18:49,1
1/27/2014 12:18:51,7